mes_referencia,total_pedidos,receita_total,receita_media_por_item
2016-09-01,3,354.75,59.13
2016-10-01,308,56808.84,156.5
2016-12-01,1,19.62,19.62
2017-01-01,789,137188.49,143.65
2017-02-01,1733,286280.62,146.74
2017-03-01,2641,432048.59,144.02
2017-04-01,2391,412422.24,153.66
2017-05-01,3660,586190.95,141.73
2017-06-01,3217,502963.04,140.37
2017-07-01,3969,584971.62,129.45
2017-08-01,4293,668204.6,136.09
2017-09-01,4243,720398.91,149.12
2017-10-01,4568,769312.37,144.55
2017-11-01,7451,1179143.77,136.08
2017-12-01,5624,863547.23,136.9
2018-01-01,7220,1107301.89,134.91
2018-02-01,6694,986908.96,128.64
2018-03-01,7188,1155126.82,140.58
2018-04-01,6934,1159698.04,145.42
2018-05-01,6853,1149781.82,145.08
2018-06-01,6160,1022677.11,144.49
2018-07-01,6273,1058728.03,149.28
2018-08-01,6452,1003308.47,138.43
2018-09-01,1,166.46,166.46
