customer_state,total_pedidos,receita_total,ticket_medio_item,percentual_atraso
AL,411,96229.4,216.73,23.2
MA,740,151171.99,183.46,19.78
SE,345,73032.32,189.69,15.84
PI,493,108132.28,199.51,14.94
CE,1327,275606.3,186.47,14.75
BA,3358,611506.67,160.97,13.27
RJ,12762,2129681.98,146.08,12.59
PA,970,217647.11,201.53,12.13
ES,2025,324801.91,143.97,12.06
TO,279,61354.42,194.78,12.06
PB,532,140987.81,234.2,10.96
MS,709,135956.67,166.0,10.74
RN,482,101895.08,192.62,10.21
PE,1648,322237.69,178.43,9.86
RR,46,10064.62,193.55,9.62
SC,3612,610213.6,146.12,9.43
GO,2007,347706.93,149.04,7.67
DF,2125,353229.44,146.81,7.27
RS,5432,885826.76,142.07,6.77
MT,903,186168.96,176.46,6.64
SP,41375,5921678.12,124.8,5.65
MG,11544,1856161.49,141.38,5.36
AP,68,16262.8,198.33,4.88
PR,4998,800935.44,139.54,4.7
AM,147,27835.73,168.7,4.24
RO,247,57558.02,207.04,3.96
AC,81,19669.7,213.8,3.26
