categoria,total_pedidos,receita_total,ticket_medio_item,frete_medio,review_medio,prazo_medio_entrega_dias,atraso_estimado_medio_dias,percentual_atraso
health_beauty,8836,1441248.07,149.04,18.88,4.14,11.98,-11.27,8.87
watches_gifts,5624,1305541.61,217.92,16.78,4.02,12.66,-11.21,8.1
bed_bath_table,9417,1241681.72,111.71,18.42,3.9,12.81,-10.96,8.28
sports_leisure,7720,1156656.48,133.86,19.51,4.11,12.15,-11.31,7.23
computers_accessories,6689,1059272.4,135.34,18.82,3.93,13.23,-11.73,7.59
furniture_decor,6449,902511.79,108.29,20.73,3.91,12.88,-11.71,8.26
housewares,5884,778397.77,111.77,20.99,4.05,10.92,-11.61,6.33
cool_stuff,3632,719329.95,189.5,22.14,4.15,12.36,-11.8,6.61
auto,3897,685384.32,161.84,21.88,4.06,12.23,-10.74,8.1
garden_tools,3518,584219.21,134.4,22.77,4.05,13.71,-11.28,7.82
toys,3886,561372.55,136.35,18.81,4.16,11.7,-11.4,7.26
baby,2885,480118.0,156.65,22.3,4.01,12.52,-10.95,8.55
perfumery,3162,453338.71,132.59,15.86,4.17,11.75,-11.74,7.17
telephony,4199,394883.32,86.88,15.67,3.95,12.86,-10.69,8.12
office_furniture,1273,342532.65,202.56,40.55,3.49,20.84,-11.15,8.81
stationery,2311,277741.71,110.35,18.59,4.2,12.74,-11.33,7.87
pet_shop,1710,253876.65,130.39,20.32,4.18,11.23,-11.84,6.06
computers,181,232799.43,1146.8,48.45,4.18,13.51,-10.86,6.4
musical_instruments,628,210137.37,309.03,27.41,4.15,12.98,-10.79,8.24
unknown,1451,207705.09,129.57,17.57,3.84,12.79,-10.73,8.98
electronics,2550,206825.06,74.75,16.83,4.04,12.89,-10.43,9.61
small_appliances,630,206668.83,304.37,23.59,4.15,10.78,-13.19,5.74
fashion_bags_accessories,1864,184273.54,90.73,15.48,4.15,11.09,-12.65,6.11
consoles_games,1062,177293.24,155.93,17.44,4.02,13.61,-10.97,7.48
luggage_accessories,1034,170875.21,156.48,27.88,4.32,10.67,-11.93,5.31
construction_tools_construction,748,165328.0,177.96,22.23,4.05,10.73,-10.91,7.97
home_appliances_2,234,123917.92,520.66,44.54,4.14,13.91,-11.79,6.72
home_construction,490,96920.36,160.46,22.9,3.94,13.21,-10.86,8.11
home_appliances,764,94990.43,123.2,19.22,4.17,11.29,-11.94,6.61
furniture_living_room,422,86884.73,172.73,35.72,3.9,13.8,-11.12,7.75
agro_industry_and_commerce,182,78374.07,369.69,27.56,4.0,11.64,-10.76,4.25
home_confort,397,67073.27,154.55,19.59,3.83,13.53,-9.11,10.14
fixed_telephony,217,64220.81,243.26,17.57,3.68,12.68,-14.05,4.17
air_conditioning,253,61774.19,207.99,22.72,3.97,12.26,-13.47,3.7
kitchen_dining_laundry_garden_furniture,248,58327.8,207.57,42.7,3.97,11.88,-11.72,4.27
audio,350,56398.94,154.94,15.69,3.83,13.32,-9.47,12.64
books_general_interest,512,56052.4,101.36,16.63,4.45,11.61,-11.45,6.33
small_appliances_home_oven_and_coffee,75,50193.57,660.44,36.16,4.3,9.83,-10.89,6.58
construction_tools_lights,244,48663.8,160.08,24.95,4.05,9.72,-10.51,9.87
industry_commerce_and_business,235,47554.29,177.44,29.42,4.1,10.76,-11.83,7.46
construction_tools_safety,167,44463.62,229.19,20.2,3.84,11.92,-11.68,5.15
food,450,36664.44,71.89,14.26,4.22,9.56,-9.18,9.61
market_place,280,33834.53,108.79,17.54,4.02,12.16,-13.95,4.18
costruction_tools_garden,194,31027.29,130.37,22.32,4.05,11.88,-12.86,7.14
fashion_shoes,240,28481.64,108.71,18.77,4.24,15.44,-14.16,5.73
art,202,28247.81,135.16,19.35,3.94,11.36,-12.09,7.18
drinks,297,28169.95,74.33,15.15,4.04,10.43,-10.81,5.28
signaling_and_security,140,28017.05,140.79,32.7,4.09,10.43,-12.07,5.53
furniture_bedroom,95,24661.01,226.25,42.5,4.11,13.24,-12.84,7.34
books_technical,260,23379.12,87.56,16.04,4.36,10.65,-10.6,10.86
food_drink,227,19687.47,70.82,16.22,4.31,10.89,-10.9,6.12
costruction_tools_tools,97,17934.17,174.12,19.71,4.44,12.08,-11.55,5.83
fashion_male_clothing,112,12950.23,98.11,16.31,3.64,12.95,-12.0,5.3
christmas_supplies,128,12030.12,78.63,21.11,4.02,15.74,-11.33,11.76
fashion_underwear_beach,121,11457.74,87.46,14.63,3.98,13.71,-10.21,12.21
tablets_printing_image,79,8754.61,105.48,14.77,4.12,13.0,-12.1,7.23
cine_photo,65,8189.66,113.75,17.45,4.19,10.56,-10.63,6.94
dvds_blu_ray,59,7288.13,113.88,20.14,4.08,12.96,-12.64,6.25
music,38,6724.86,176.97,18.17,4.21,11.66,-13.62,7.89
furniture_mattress_and_upholstery,38,5998.54,157.86,42.91,3.82,14.43,-6.48,13.16
books_imported,53,5409.7,90.16,12.83,4.4,8.13,-10.43,3.33
party_supplies,39,5313.15,123.56,19.26,3.77,9.33,-14.34,4.65
portateis_cozinha_e_preparadores_de_alimentos,14,4278.29,285.22,20.65,3.27,8.15,-8.77,6.67
fashio_female_clothing,39,3425.39,71.36,12.95,3.78,12.06,-10.63,6.25
fashion_sport,27,2697.64,89.92,19.27,4.23,11.82,-11.69,6.67
la_cuisine,13,2388.54,170.61,23.83,4.0,7.61,-15.68,0.0
arts_and_craftmanship,23,2184.14,91.01,15.42,4.13,5.72,-6.09,8.33
diapers_and_hygiene,27,2141.27,54.9,14.71,3.26,10.78,-10.66,2.56
pc_gamer,8,1679.52,186.61,14.84,3.33,9.4,-8.96,0.0
flowers,29,1598.91,48.45,14.81,4.42,11.15,-11.66,3.03
home_comfort_2,24,1170.58,39.02,13.68,3.63,14.57,-7.79,16.67
cds_dvds_musicals,12,954.99,68.21,16.07,4.64,10.75,-16.1,0.0
fashion_childrens_clothes,8,665.36,83.17,11.94,4.5,8.82,-14.99,0.0
security_and_services,2,324.51,162.26,20.61,2.5,15.14,-16.28,0.0
